[[-1.91770070e+00  1.13849161e+00]
 [-1.92280780e+00  1.17197818e+00]
 [-1.86599675e+00  1.16732786e+00]
 [-1.85194030e+00  1.18872152e+00]
 [-1.82120265e+00  1.19912428e+00]
 [-1.81603454e+00  1.22623229e+00]
 [-1.79317634e+00  1.24140157e+00]
 [-1.76200163e+00  1.25037940e+00]
 [-1.74366099e+00  1.26810929e+00]
 [-1.71450143e+00  1.27764914e+00]
 [-1.71344232e+00  1.30812486e+00]
 [-1.68805092e+00  1.32009336e+00]
 [-1.67933672e+00  1.34504293e+00]
 [-1.63980035e+00  1.34497650e+00]
 [-1.63271816e+00  1.37123692e+00]
 [-1.60119802e+00  1.37683538e+00]
 [-1.57622338e+00  1.38756845e+00]
 [-1.55514698e+00  1.40144962e+00]
 [-1.54483563e+00  1.42505980e+00]
 [-1.51322098e+00  1.42882447e+00]
 [-1.51585510e+00  1.46502965e+00]
 [-1.48412932e+00  1.46813045e+00]
 [-1.46666429e+00  1.48499589e+00]
 [-1.43829615e+00  1.49055292e+00]
 [-1.42873941e+00  1.51553180e+00]
 [-1.39740758e+00  1.51726681e+00]
 [-1.38681233e+00  1.54135550e+00]
 [-1.35439840e+00  1.54100068e+00]
 [-1.34738053e+00  1.56945409e+00]
 [-1.32713730e+00  1.58275088e+00]
 [-1.28953981e+00  1.57475167e+00]
 [-1.29305472e+00  1.61704856e+00]
 [-1.25459757e+00  1.60691812e+00]
 [-1.21715769e+00  1.59690791e+00]
 [-1.16407261e+00  1.56467382e+00]
 [-1.13580977e+00  1.56434916e+00]
 [-1.09956389e+00  1.55207746e+00]
 [-1.05512714e+00  1.52668739e+00]
 [-1.01137489e+00  1.50039234e+00]
 [-9.77984085e-01  1.48790229e+00]
 [-9.43858236e-01  1.47302447e+00]
 [-9.11202916e-01  1.45914294e+00]
 [-8.85024286e-01  1.45460550e+00]
 [-8.45463956e-01  1.42668928e+00]
 [-8.21627639e-01  1.42396818e+00]
 [-7.87132824e-01  1.40159045e+00]
 [-7.64679201e-01  1.39948425e+00]
